radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,505,3,20243,415023165,0,151.1946,-33.8831,1000,2,1,1650325949,1709458503,0
NR,505,3,20295,467140671,0,149.139,-35.4223,2871,64,1,1655305208,1719465966,0
NR,505,3,20211,413941821,0,151.2176,-33.8745,1000,3,1,1655313934,1719465902,0
NR,505,3,20211,413941822,0,151.2151,-33.8731,2064,16,1,1655313948,1719465902,0
NR,505,3,20295,419610686,0,149.1258,-35.4328,1289,8,1,1657592661,1719465965,0
NR,505,3,20295,467189823,0,149.1329,-35.4593,3192,62,1,1657592691,1719465967,0
NR,505,3,20286,414040126,0,151.1252,-34.0925,5572,30,1,1658520813,1709971641,0
NR,505,3,20211,420184147,0,151.213,-33.8664,1622,15,1,1663542942,1709971622,0
NR,505,3,20211,413941843,0,151.2218,-33.8673,1038,5,1,1663542972,1709756524,0
NR,505,3,20211,413941842,0,151.2177,-33.8742,1000,5,1,1663543021,1719465902,0
NR,505,3,20285,417972286,0,151.1669,-33.9511,1777,28,1,1663598575,1719465905,0
NR,505,3,20284,418381886,0,151.1668,-33.9445,2473,22,1,1663598616,1719466113,0
NR,505,3,20244,412319827,0,151.185,-33.8754,5497,10,1,1663598791,1709458503,0
NR,505,3,20284,417120317,0,151.164,-33.9535,2283,33,1,1664084234,1709971626,0
NR,505,3,20285,417972285,0,151.1717,-33.9336,1000,9,1,1668554953,1710361386,0
NR,505,3,20285,422789181,0,151.1671,-33.9458,1953,40,1,1668555195,1719466113,0
NR,505,3,20210,417235025,0,151.2319,-33.8512,2619,15,1,1671567168,1709756526,0
NR,505,3,20210,415318098,0,151.2098,-33.8587,1000,17,1,1671569334,1709756527,0
NR,505,3,20210,413073491,0,151.2074,-33.8633,1290,10,1,1671569618,1709756523,0
NR,505,3,20250,410075198,0,151.1999,-33.8215,1000,55,1,1671672120,1709971574,0
NR,505,3,20282,416153662,0,151.0528,-33.8129,1607,9,1,1673838044,1741821842,0
NR,505,3,20243,410337341,0,151.2187,-33.8901,1000,6,1,1673933578,1709971623,0
NR,505,3,20280,418676797,0,151.1389,-33.6462,3652,22,1,1674937124,1709458458,0
NR,505,3,20249,415498303,0,151.0432,-33.9437,3631,18,1,1674951265,1719465907,0
NR,505,3,20208,413351999,0,151.4084,-33.2526,2291,7,1,1675301761,1709458448,0
NR,505,3,20243,414990417,0,151.195,-33.8837,1000,2,1,1676755644,1709458503,0
NR,505,3,20209,422510654,0,151.5224,-32.8239,3550,12,1,1679098944,1709458401,0
NR,505,3,20209,422494269,0,151.5252,-32.8295,4098,58,1,1681090670,1709458401,0
NR,505,3,20210,414859325,0,151.2103,-33.8326,1000,10,1,1681686020,1709971567,0
NR,505,3,20294,425312318,0,150.3427,-34.4689,18568,119,1,1681768575,1719466093,0
NR,505,3,20295,421167165,0,149.0682,-35.2979,1000,18,1,1681952970,1719466055,0
NR,505,3,20243,418349120,0,151.2033,-33.8774,1000,7,1,1682704111,1709971572,0
NR,505,3,20245,419709010,0,151.2326,-33.8578,1238,21,1,1683855306,1709756526,0
NR,505,3,20210,413188158,0,151.2125,-33.8467,3632,79,1,1683855636,1710361382,0
NR,505,3,20210,420708414,0,151.2207,-33.8572,2904,10,1,1683855692,1709756523,0
NR,505,3,20243,418103358,0,151.2264,-33.8673,1715,2,1,1684077640,1719466114,0
NR,505,3,20243,414629949,0,151.2187,-33.8712,2375,5,1,1684077735,1719465902,0
NR,505,3,20210,416612413,0,151.2106,-33.8555,1000,6,1,1684078172,1709756527,0
NR,505,3,20210,413073469,0,151.2103,-33.8581,1000,7,1,1684078192,1709971622,0
NR,505,3,20210,416612415,0,151.209,-33.8626,1392,9,1,1684078253,1709756527,0
NR,505,3,20210,415318078,0,151.2082,-33.8661,1000,2,1,1684078281,1709671568,0
NR,505,3,20210,413073489,0,151.2123,-33.86,1654,29,1,1684078290,1709971622,0
NR,505,3,20210,415318099,0,151.2096,-33.8594,1000,3,1,1684078353,1709971622,0
NR,505,3,20211,414892113,0,151.2061,-33.8536,1044,5,1,1684078475,1709756527,0
NR,505,3,20210,417103954,0,151.2051,-33.8552,1000,15,1,1684078489,1709971622,0
NR,505,3,20211,412975167,0,151.2018,-33.8576,1000,15,1,1684078735,1709971622,0
NR,505,3,20211,414892093,0,151.1998,-33.8561,1000,17,1,1684078742,1709756527,0
NR,505,3,20210,417103934,0,151.2058,-33.8553,1000,5,1,1684078912,1709756522,0
NR,505,3,40441,749191230,-1,152.9855,-27.4926,1000,1,1,1704065030,1704065030,0
NR,505,3,50535,902971453,0,138.7139,-34.7843,1000,2,1,1707581461,1707601502,0
NR,505,3,20211,422477885,-1,151.2084,-33.8723,1000,1,1,1708988273,1708988273,0
NR,505,3,20211,413532223,-1,151.2067,-33.8739,1000,13,1,1708988344,1719466115,0
NR,505,3,20211,413532243,-1,151.2066,-33.8737,1000,37,1,1708988424,1719466115,0
NR,505,3,20209,426917971,-1,150.975,-32.5397,1000,6,1,1709425583,1709458388,0
NR,505,3,20209,426917951,-1,150.9864,-32.5406,1000,21,1,1709425603,1709458388,0
NR,505,3,20209,426917950,-1,151.1718,-32.6341,1242,20,1,1709426413,1709458393,0
NR,505,3,20209,423542845,-1,151.2684,-32.6507,3389,45,1,1709426713,1709458395,0
NR,505,3,20209,423395391,-1,151.3494,-32.6684,4718,136,1,1709426933,1709458397,0
NR,505,3,20209,423395390,-1,151.3827,-32.7037,1000,16,1,1709427253,1709458397,0
NR,505,3,20209,423542846,-1,151.4969,-32.8067,1000,31,1,1709427743,1709458400,0
NR,505,3,20208,416481343,-1,151.5844,-32.8817,1031,23,1,1709428133,1709458402,0
NR,505,3,20208,423002173,-1,151.5808,-32.8975,2717,90,1,1709428203,1709458503,0
NR,505,3,20208,423002175,-1,151.5532,-32.9207,1000,22,1,1709428393,1709458442,0
NR,505,3,20208,417529919,-1,151.5512,-32.9251,1000,12,1,1709428423,1709458442,0
NR,505,3,20208,423002174,-1,151.5466,-32.9414,2027,28,1,1709428463,1709458443,0
NR,505,3,20208,416464957,-1,151.5364,-32.9658,2448,66,1,1709428513,1709458443,0
NR,505,3,20208,416464959,-1,151.5138,-32.9952,1506,41,1,1709428663,1709458444,0
NR,505,3,20208,424362045,-1,151.4847,-33.0224,2614,68,1,1709428753,1709458444,0
NR,505,3,20208,424362046,-1,151.4737,-33.0435,1000,6,1,1709428913,1709458444,0
NR,505,3,20208,427819071,-1,151.4772,-33.0592,1622,42,1,1709428923,1709458445,0
NR,505,3,20208,427819070,-1,151.4714,-33.1094,4257,101,1,1709429023,1709458446,0
NR,505,3,20208,413859901,-1,151.4634,-33.1135,1016,26,1,1709429143,1709458445,0
NR,505,3,20208,413859902,-1,151.4709,-33.1575,1318,36,1,1709429303,1709458446,0
NR,505,3,20208,413859903,-1,151.4659,-33.1868,2055,57,1,1709429383,1709458577,0
NR,505,3,20208,429490239,-1,151.4638,-33.1986,1000,6,1,1709429483,1709458447,0
NR,505,3,20208,413646909,-1,151.3952,-33.306,6062,141,1,1709429683,1709458551,0
NR,505,3,20208,413646911,-1,151.3488,-33.3566,2044,49,1,1709430103,1709458451,0
NR,505,3,20235,412516413,-1,151.3008,-33.3955,4257,82,1,1709430233,1709458537,0
NR,505,3,20235,419332157,-1,151.2807,-33.4261,1365,36,1,1709430483,1709458453,0
NR,505,3,20235,419332158,-1,151.2682,-33.4342,1000,7,1,1709430563,1709458453,0
NR,505,3,20235,419332159,-1,151.2493,-33.4312,1902,43,1,1709430583,1709458453,0
NR,505,3,20235,418431037,-1,151.2223,-33.4342,1148,28,1,1709430693,1709458454,0
NR,505,3,20235,418431057,-1,151.2123,-33.4521,1000,11,1,1709430793,1709458454,0
NR,505,3,20235,418431038,-1,151.1925,-33.4718,2320,70,1,1709430823,1709458539,0
NR,505,3,20280,417300541,-1,151.1895,-33.5024,3601,38,1,1709430973,1709458456,0
NR,505,3,20235,429391934,-1,151.1911,-33.5109,1000,8,1,1709431043,1709458455,0
NR,505,3,20235,415137853,-1,151.196,-33.5466,1519,41,1,1709431153,1709458456,0
NR,505,3,20235,415137875,-1,151.1927,-33.5658,1000,21,1,1709431243,1709458456,0
NR,505,3,20280,417300561,-1,151.1902,-33.5799,1000,26,1,1709431293,1709458457,0
NR,505,3,20280,417300562,-1,151.1807,-33.5861,1000,11,1,1709431343,1709458457,0
NR,505,3,20280,429080657,-1,151.1759,-33.5879,1000,6,1,1709431363,1709458457,0
NR,505,3,20280,418562129,-1,151.1728,-33.593,1000,6,1,1709431383,1709458457,0
NR,505,3,20280,429080638,-1,151.149,-33.6319,1361,28,1,1709431503,1709458458,0
NR,505,3,20280,429080639,-1,151.1479,-33.6355,1000,10,1,1709431543,1709458458,0
NR,505,3,20280,418676798,-1,151.1276,-33.6633,1439,41,1,1709431623,1709458556,0
NR,505,3,20280,430211133,-1,151.1202,-33.6787,1000,16,1,1709431713,1709458459,0
NR,505,3,20280,430211134,-1,151.1211,-33.6883,1000,16,1,1709431743,1709458459,0
NR,505,3,20280,415006782,-1,151.1193,-33.6986,1000,16,1,1709431783,1709458459,0
NR,505,3,20280,415006783,-1,151.117,-33.7083,1000,24,1,1709431813,1709458459,0
NR,505,3,20280,416743487,-1,151.0505,-33.758,1000,8,1,1709432256,1709458460,0
NR,505,3,20247,419053629,-1,151.0556,-33.7574,1000,9,1,1709432283,1709458460,0
NR,505,3,20283,418938941,-1,151.1421,-33.8001,1000,10,1,1709432653,1709671563,0
NR,505,3,20283,421953597,-1,151.1482,-33.8032,2541,14,1,1709432683,1709671566,0
NR,505,3,20283,421953598,-1,151.1777,-33.8123,2551,20,1,1709432823,1709671566,0
NR,505,3,20250,415924305,-1,151.1892,-33.814,1000,28,1,1709432853,1709671566,0
NR,505,3,20250,410075197,-1,151.1963,-33.8123,1000,6,1,1709432893,1709458462,0
NR,505,3,20250,426115135,-1,151.1999,-33.8156,1000,46,1,1709432903,1709671567,0
NR,505,3,20245,423379007,-1,151.2049,-33.8208,1000,22,1,1709432953,1709971574,0
NR,505,3,20250,426115133,-1,151.2045,-33.8214,1165,88,1,1709432963,1709971574,0
NR,505,3,20245,420151359,-1,151.2121,-33.8257,1000,30,1,1709432983,1710361382,0
NR,505,3,20245,429277245,-1,151.2135,-33.83,1000,92,1,1709433013,1710361382,0
NR,505,3,20210,410370129,-1,151.2111,-33.8372,1000,13,1,1709433053,1709458463,0
NR,505,3,20210,417235006,-1,151.2107,-33.8403,1000,86,1,1709433093,1710361382,0
NR,505,3,20210,420708415,-1,151.2116,-33.8499,1000,48,1,1709433133,1709971569,0
NR,505,3,20210,427884606,-1,151.2101,-33.853,905,128,1,1709433153,1710361383,0
NR,505,3,20210,427671613,-1,151.2066,-33.8592,947,154,1,1709433183,1710361383,0
NR,505,3,20211,412975166,-1,151.2028,-33.866,1000,42,1,1709433233,1709971622,0
NR,505,3,20211,415678525,-1,151.2026,-33.871,1337,19,1,1709433254,1709971683,0
NR,505,3,20211,413532244,-1,151.2031,-33.8731,1000,7,1,1709433273,1709971683,0
NR,505,3,20211,428671057,-1,151.2032,-33.8748,1000,14,1,1709433283,1709971575,0
NR,505,3,20211,428671039,-1,151.2034,-33.8768,1000,2,1,1709433323,1709458502,0
NR,505,3,20243,418349117,-1,151.2061,-33.8765,1000,21,1,1709433383,1709971576,0
NR,505,3,20243,418349118,-1,151.2067,-33.8779,1000,5,1,1709433443,1709971576,0
NR,505,3,20243,418349137,-1,151.2063,-33.8775,1000,20,1,1709433453,1709971683,0
NR,505,3,20243,412385343,-1,151.2068,-33.8765,1000,32,1,1709433483,1719466115,0
NR,505,3,20211,418152509,-1,151.2057,-33.8747,1000,22,1,1709433555,1719466115,0
NR,505,3,20211,418152530,-1,151.2039,-33.8753,1000,8,1,1709433587,1709971575,0
NR,505,3,20211,427556926,-1,151.205,-33.8721,1000,53,1,1709433727,1709971684,0
NR,505,3,20211,413532224,-1,151.2035,-33.8733,1000,2,1,1709433777,1709971572,0
NR,505,3,20211,418152511,-1,151.2013,-33.8738,1000,3,1,1709433802,1709458502,0
NR,505,3,20211,415678526,-1,151.1975,-33.8747,1000,6,1,1709433828,1709458503,0
NR,505,3,20211,413958207,-1,151.1947,-33.8739,1000,5,1,1709433848,1709458503,0
NR,505,3,20244,420872254,-1,151.1926,-33.8738,1000,5,1,1709433868,1709458503,0
NR,505,3,20244,412319807,-1,151.1934,-33.8733,1000,3,1,1709433888,1709458503,0
NR,505,3,20243,423592018,-1,151.1946,-33.8811,1000,5,1,1709434013,1709458503,0
NR,505,3,20243,423591997,-1,151.1958,-33.8824,1000,5,1,1709434136,1709458503,0
NR,505,3,20243,423591998,-1,151.1966,-33.8796,1000,12,1,1709435793,1709458503,0
NR,505,3,20243,427573311,-1,151.1994,-33.8776,1000,3,1,1709436559,1709458503,0
NR,505,3,20211,413958206,-1,151.2014,-33.8774,1000,5,1,1709436579,1709458503,0
NR,505,3,20243,418349140,-1,151.2045,-33.8775,1000,19,1,1709436599,1709971575,0
NR,505,3,20243,412385362,-1,151.2076,-33.8775,1000,2,1,1709436669,1709458503,0
NR,505,3,20243,412385363,-1,151.208,-33.8752,1000,8,1,1709436689,1719465902,0
NR,505,3,20211,427556946,-1,151.2046,-33.873,1000,8,1,1709436839,1719466115,0
NR,505,3,20211,427556925,-1,151.2042,-33.8661,1000,47,1,1709590277,1709971621,0
NR,505,3,20210,417235007,-1,151.2112,-33.8367,1000,59,1,1709590577,1710361382,0
NR,505,3,20245,429277247,-1,151.2114,-33.8253,1000,64,1,1709590647,1710361382,0
NR,505,3,20250,415924285,-1,151.187,-33.8142,1000,19,1,1709590777,1709671566,0
NR,505,3,20283,414564413,-1,151.137,-33.7967,1000,7,1,1709591027,1709671563,0
NR,505,3,20283,420839486,-1,151.1373,-33.7968,1000,2,1,1709591047,1709671563,0
NR,505,3,20283,427458622,-1,151.1384,-33.7963,1007,23,1,1709591077,1709671566,0
NR,505,3,20283,410124350,-1,151.128,-33.7897,1000,27,1,1709591097,1709671564,0
NR,505,3,20282,410566717,-1,151.1199,-33.7857,1000,4,1,1709591187,1709671564,0
NR,505,3,20283,410124351,-1,151.1127,-33.7825,1000,11,1,1709591197,1709671564,0
NR,505,3,20283,412876863,-1,151.1131,-33.7814,1000,9,1,1709591217,1709671564,0
NR,505,3,20283,421642303,-1,151.1067,-33.7794,1000,4,1,1709591287,1709671564,0
NR,505,3,20280,415367231,-1,151.1076,-33.778,1000,2,1,1709591307,1709671564,0
NR,505,3,20283,423182399,-1,151.1117,-33.7708,1032,13,1,1709591317,1709671565,0
NR,505,3,20283,419119165,-1,151.1008,-33.7754,1000,19,1,1709591357,1709671564,0
NR,505,3,20280,417251390,-1,151.1001,-33.7744,1000,5,1,1709591437,1709671564,0
NR,505,3,20280,417251410,-1,151.1012,-33.7714,1000,8,1,1709591457,1709671564,0
NR,505,3,20282,411844671,-1,151.0971,-33.7739,1000,1,1,1709591497,1709591497,0
NR,505,3,20283,411385918,-1,151.0971,-33.7739,1000,1,1,1709592687,1709592687,0
NR,505,3,20283,429473854,-1,151.1004,-33.773,1000,1,1,1709592797,1709592797,0
NR,505,3,20283,423182419,-1,151.1025,-33.7705,1000,3,1,1709592887,1709671564,0
NR,505,3,20283,418742354,-1,151.1061,-33.7691,1000,10,1,1709592907,1709671564,0
NR,505,3,20283,418742334,-1,151.1101,-33.7698,1000,5,1,1709592967,1709671565,0
NR,505,3,20283,423182398,-1,151.1232,-33.7748,1000,32,1,1709593047,1709671565,0
NR,505,3,20283,428703805,-1,151.1333,-33.7824,1000,11,1,1709593157,1709671565,0
NR,505,3,20283,427458621,-1,151.1347,-33.7876,1000,11,1,1709593177,1709671565,0
NR,505,3,20250,415924287,-1,151.1844,-33.8133,1000,3,1,1709593447,1709671566,0
NR,505,3,20250,410075199,-1,151.1919,-33.8173,1000,6,1,1709593577,1709671566,0
NR,505,3,20250,426115134,-1,151.1996,-33.82,1000,18,1,1709593657,1709671567,0
NR,505,3,20245,417824831,-1,151.205,-33.8173,1000,2,1,1709595527,1709671566,0
NR,505,3,20250,426131518,-1,151.2037,-33.817,1000,4,1,1709595537,1709671566,0
NR,505,3,20250,426115155,-1,151.2019,-33.816,1000,7,1,1709595547,1709671566,0
NR,505,3,20245,420151379,-1,151.2113,-33.8248,1000,32,1,1709596897,1709971571,0
NR,505,3,20210,410370109,-1,151.2118,-33.834,1000,28,1,1709596987,1709971571,0
NR,505,3,20210,413188159,-1,151.2115,-33.8441,1000,10,1,1709597277,1709971569,0
NR,505,3,20211,412975186,-1,151.2033,-33.8694,1000,8,1,1709597537,1709971569,0
NR,505,3,20211,415678545,-1,151.2027,-33.8721,1000,9,1,1709597547,1709971568,0
NR,505,3,20211,413532242,-1,151.2048,-33.8735,1000,8,1,1709597577,1709756523,0
NR,505,3,20211,428671058,-1,151.2035,-33.8763,1000,7,1,1709597617,1709971575,0
NR,505,3,20243,412385342,-1,151.2075,-33.8775,1000,7,1,1709597857,1709971576,0
NR,505,3,20243,420790333,-1,151.2071,-33.8765,1000,4,1,1709597917,1709671568,0
NR,505,3,20243,424067153,-1,151.2056,-33.8748,1000,1,1,1709598419,1709598419,0
NR,505,3,20211,418152529,-1,151.2056,-33.8752,1000,11,1,1709598479,1709971684,0
NR,505,3,20211,413532222,-1,151.2061,-33.874,1000,3,1,1709599654,1719466115,0
NR,505,3,20210,413073471,-1,151.206,-33.8744,1000,2,1,1709600501,1709756523,0
NR,505,3,20210,423067730,-1,151.2095,-33.8577,1935,28,1,1709600853,1709756527,0
NR,505,3,20245,429342803,-1,151.2605,-33.8484,5862,35,1,1709600983,1709756525,0
NR,505,3,20210,427884627,-1,151.2081,-33.8546,1000,7,1,1709601290,1709971622,0
NR,505,3,20210,427884607,-1,151.203,-33.8541,1000,32,1,1709601614,1709971622,0
NR,505,3,20210,420708435,-1,151.208,-33.855,1000,6,1,1709604011,1709971622,0
NR,505,3,20210,427884626,-1,151.2091,-33.8546,1000,6,1,1709608756,1709756522,0
NR,505,3,20210,416612435,-1,151.2093,-33.8606,1519,20,1,1709616695,1709971622,0
NR,505,3,20210,427671634,-1,151.2082,-33.8633,1203,24,1,1709617104,1709971622,0
NR,505,3,20211,413532221,-1,151.2071,-33.8724,1000,4,1,1709617466,1709671569,0
NR,505,3,20211,411664465,-1,151.2098,-33.8574,1000,2,1,1709661375,1709756523,0
NR,505,3,20245,429555795,-1,151.2432,-33.8612,3285,12,1,1709681108,1709756524,0
NR,505,3,20211,413532241,-1,151.2064,-33.8744,1000,4,1,1709687077,1719466115,0
NR,505,3,20211,410173522,-1,151.2065,-33.8741,1000,1,1,1709687097,1709687097,0
NR,505,3,20210,415318079,-1,151.2065,-33.8741,1000,1,1,1709687337,1709687337,0
NR,505,3,20210,427671614,-1,151.2065,-33.8741,1000,1,1,1709687357,1709687357,0
NR,505,3,20210,416612433,-1,151.2065,-33.8741,1000,1,1,1709687638,1709687638,0
NR,505,3,20210,423067709,-1,151.2081,-33.8558,1000,3,1,1709689691,1709756527,0
NR,505,3,20210,426606654,-1,151.2186,-33.8601,1000,4,1,1709690015,1709756523,0
NR,505,3,20211,429621309,-1,151.2213,-33.8592,1000,6,1,1709690075,1709756523,0
NR,505,3,20211,429621329,-1,151.2258,-33.8634,1000,22,1,1709690304,1709756524,0
NR,505,3,20243,414629969,-1,151.222,-33.8665,1474,16,1,1709690545,1719465903,0
NR,505,3,20245,429293649,-1,151.2314,-33.8578,1000,11,1,1709690762,1709756526,0
NR,505,3,20211,420184145,-1,151.2383,-33.8711,1852,48,1,1709691059,1710361384,0
NR,505,3,20245,416202833,-1,151.2622,-33.8568,1235,9,1,1709691602,1709756525,0
NR,505,3,20245,416202813,-1,151.2639,-33.8614,1363,35,1,1709691672,1709756524,0
NR,505,3,20245,410796093,-1,151.2653,-33.8565,1000,4,1,1709692095,1709756524,0
NR,505,3,20245,429555775,-1,151.2639,-33.8528,1000,8,1,1709693332,1709756524,0
NR,505,3,20245,429342783,-1,151.2654,-33.8487,1000,3,1,1709693595,1709756525,0
NR,505,3,20245,425525330,-1,151.2594,-33.8503,1254,17,1,1709693717,1709756525,0
NR,505,3,20245,429342801,-1,151.2767,-33.8444,1000,21,1,1709693961,1709756525,0
NR,505,3,20245,429555793,-1,151.2799,-33.8437,1000,3,1,1709694194,1709756525,0
NR,505,3,20245,425525350,-1,151.2453,-33.8536,1000,10,1,1709694805,1709756525,0
NR,505,3,20245,411566161,-1,151.2429,-33.8494,1000,9,1,1709694955,1709756525,0
NR,505,3,20245,410959954,-1,151.238,-33.8472,1000,14,1,1709695060,1709756525,0
NR,505,3,20245,410959934,-1,151.2328,-33.8451,1000,20,1,1709695362,1709756526,0
NR,505,3,20245,410959933,-1,151.2313,-33.8409,1000,16,1,1709695527,1709756526,0
NR,505,3,20245,410796115,-1,151.2304,-33.8499,1000,7,1,1709696154,1709756526,0
NR,505,3,20210,420708434,-1,151.2194,-33.8534,1000,28,1,1709696344,1709756526,0
NR,505,3,20211,412975187,-1,151.1975,-33.8595,1000,2,1,1709697948,1709756527,0
NR,505,3,20210,427671615,-1,151.2042,-33.8632,1000,18,1,1709781741,1709971621,0
NR,505,3,20245,423379027,-1,151.2049,-33.821,1000,2,1,1709782771,1709971567,0
NR,505,3,20210,427671633,-1,151.2071,-33.86,1647,7,1,1709783991,1709971576,0
NR,505,3,20250,426115153,-1,151.2071,-33.823,1000,5,1,1709785081,1709971570,0
NR,505,3,20210,417235027,-1,151.211,-33.8377,1000,11,1,1709785181,1709971571,0
NR,505,3,20211,428671037,-1,151.2031,-33.8697,1000,9,1,1709785371,1709971683,0
NR,505,3,20211,420446269,-1,151.2032,-33.8703,1000,5,1,1709785381,1709971572,0
NR,505,3,20211,428671038,-1,151.2033,-33.8754,1000,7,1,1709785431,1709971572,0
NR,505,3,20243,412385341,-1,151.2075,-33.8776,1000,5,1,1709787901,1709971683,0
NR,505,3,20211,429621330,-1,151.2126,-33.8722,1000,5,1,1709913057,1709971622,0
NR,505,3,20211,414023762,-1,151.2127,-33.8707,1000,8,1,1709913077,1709971622,0
NR,505,3,20211,426475602,-1,151.2125,-33.8752,1000,8,1,1709913177,1709971622,0
NR,505,3,20243,418103379,-1,151.2138,-33.8781,1000,18,1,1709913217,1710361383,0
NR,505,3,20243,414629970,-1,151.2189,-33.8804,1000,11,1,1709913307,1710361383,0
NR,505,3,20243,411484242,-1,151.2179,-33.885,1000,13,1,1709913347,1709971623,0
NR,505,3,20243,426868817,-1,151.2179,-33.8878,1000,7,1,1709913417,1719466114,0
NR,505,3,20243,410337343,-1,151.2172,-33.8901,1000,14,1,1709913487,1719466114,0
NR,505,3,20243,425984063,-1,151.2169,-33.893,1000,7,1,1709913517,1709971623,0
NR,505,3,20243,425984062,-1,151.2159,-33.8966,1000,7,1,1709913606,1719466114,0
NR,505,3,20285,410402897,-1,151.2098,-33.9227,2652,107,1,1709913617,1709971625,0
NR,505,3,20285,410632253,-1,151.1996,-33.9379,1000,18,1,1709913997,1719466113,0
NR,505,3,20285,422920253,-1,151.1883,-33.9435,1066,61,1,1709914016,1719465905,0
NR,505,3,20285,422920255,-1,151.1852,-33.9431,1762,52,1,1709914097,1719466113,0
NR,505,3,20284,417120318,-1,151.1569,-33.9595,1330,61,1,1709914337,1709971648,0
NR,505,3,20284,416350269,-1,151.1459,-33.9656,1000,23,1,1709914437,1709971647,0
NR,505,3,20284,416350270,-1,151.1398,-33.9656,1000,34,1,1709914587,1709971647,0
NR,505,3,20284,414138431,-1,151.1342,-33.9697,1000,40,1,1709914657,1709971647,0
NR,505,3,20284,411320382,-1,151.128,-33.9747,1000,29,1,1709914767,1709971647,0
NR,505,3,20284,414138430,-1,151.1231,-33.9782,1000,1,1,1709914837,1709914837,0
NR,505,3,20284,423755837,-1,151.1184,-33.9813,1000,29,1,1709914857,1709971646,0
NR,505,3,20284,423755857,-1,151.1198,-33.9804,1000,26,1,1709914867,1709971646,0
NR,505,3,20286,419168317,-1,151.1124,-33.9873,1000,15,1,1709915037,1709971646,0
NR,505,3,20286,419168338,-1,151.1153,-33.994,1000,22,1,1709915067,1709971627,0
NR,505,3,20286,414040147,-1,151.1152,-33.9999,1000,7,1,1709915147,1709971627,0
NR,505,3,20286,414908497,-1,151.1141,-34.0025,1000,7,1,1709915167,1709971628,0
NR,505,3,20286,416055359,-1,151.1009,-34.0119,2018,40,1,1709915287,1709971646,0
NR,505,3,20286,424345661,-1,151.0905,-34.0191,1000,1,1,1709915427,1709915427,0
NR,505,3,20286,410599487,-1,151.0903,-34.0202,1000,4,1,1709915437,1709971629,0
NR,505,3,20286,415760446,-1,151.0826,-34.0263,1813,89,1,1709915517,1709971645,0
NR,505,3,20286,415760447,-1,151.0735,-34.0323,1000,15,1,1709915767,1709971645,0
NR,505,3,20286,415449149,-1,151.0571,-34.0475,2223,100,1,1709915807,1709971660,0
NR,505,3,20286,417431613,-1,151.0642,-34.0865,5123,39,1,1709916127,1709971644,0
NR,505,3,20286,419856446,-1,151.0787,-34.1235,1000,11,1,1709916897,1709971641,0
NR,505,3,20286,423886910,-1,151.1388,-34.0831,1000,1,1,1709918591,1709918591,0
NR,505,3,20286,419856445,-1,151.0595,-34.1071,1000,14,1,1709936017,1709971642,0
NR,505,3,20286,415449150,-1,151.0575,-34.0429,1381,49,1,1709936527,1709971644,0
NR,505,3,20286,419168318,-1,151.1138,-33.9913,1000,15,1,1709937198,1709971646,0
NR,505,3,20284,423755838,-1,151.1143,-33.9835,1000,7,1,1709937348,1709971646,0
NR,505,3,20284,418381905,-1,151.1728,-33.9418,1990,43,1,1709938038,1710361386,0
NR,505,3,20285,422920275,-1,151.1781,-33.9455,1395,74,1,1709938068,1719466113,0
NR,505,3,20285,414433343,-1,151.2066,-33.9344,1348,88,1,1709938208,1719466114,0
NR,505,3,20285,414433341,-1,151.2137,-33.9235,1000,14,1,1709938278,1719466114,0
NR,505,3,20285,410402877,-1,151.2125,-33.9194,1000,35,1,1709938298,1719465904,0
NR,505,3,20285,419414078,-1,151.2129,-33.9117,1000,22,1,1709938358,1719466114,0
NR,505,3,20285,427868221,-1,151.2134,-33.9075,1000,15,1,1709938378,1719466114,0
NR,505,3,20285,419414077,-1,151.2146,-33.9024,1000,69,1,1709938398,1719466114,0
NR,505,3,20243,425984061,-1,151.2168,-33.8923,1000,27,1,1709938458,1719466114,0
NR,505,3,20243,426868797,-1,151.2169,-33.8905,1812,26,1,1709938498,1710361384,0
NR,505,3,20211,423084134,-1,151.2036,-33.8685,1000,1,1,1709939308,1709939308,0
NR,505,3,20211,418152531,-1,151.2043,-33.8752,1000,10,1,1709939418,1709971683,0
NR,505,2,22009,5373923345,-1,151.0785,-34.0939,5591,123,1,1709916263,1709971758,0
NR,505,2,22501,5370081297,-1,151.1334,-34.0724,1000,1,1,1709932180,1709932180,0
NR,505,2,22501,5375590474,-1,151.1336,-34.0745,1000,2,1,1709932220,1709971758,0
NR,505,3,20243,421806142,-1,151.2092,-33.8746,1000,2,1,1710209978,1710361383,0
NR,505,3,20211,426475583,-1,151.21,-33.8756,1000,9,1,1710210058,1719466114,0
NR,505,3,20243,410107987,-1,151.2104,-33.8767,1000,6,1,1710210078,1710361383,0
NR,505,3,20243,414629950,-1,151.214,-33.8783,1000,10,1,1710210168,1719466114,0
NR,505,3,20243,418103357,-1,151.2166,-33.8798,1000,26,1,1710210188,1719466114,0
NR,505,3,20211,429359166,-1,151.2197,-33.8794,1000,1,1,1710210278,1710210278,0
NR,505,3,20211,429359186,-1,151.22,-33.8758,1000,5,1,1710210298,1710361384,0
NR,505,3,20285,429588563,-1,151.2274,-33.8796,1000,16,1,1710210348,1710361384,0
NR,505,3,20211,420184146,-1,151.2252,-33.8818,1000,4,1,1710210378,1710361383,0
